HIP	RAhms	DEdms	Vmag	Plx	ABSmag	Pc	Ly	X	Y	Z
62776	12 51 51.97	+00 05 06.3	7.83	17.53	4.048909580468974	57.045065601825456	186.05807187678272	-55.59042250698561	-12.799892967788182	0.0847055167302957
62777	12 51 52.13	+17 54 54.8	8.72	8.15	3.275788043699885	122.69938650306742	400.1960736196317	-113.77274177369087	-26.197965752330415	37.74346656000084
62779	12 51 54.03	+26 47 08.3	11.27	9.98	6.265652706436855	100.20040080160324	326.81342685370754	-87.16495013027046	-20.083725261651164	45.155683686595985
62778	12 51 54.04	+25 40 29.4	7.55	2.23	-0.7084756847591978	448.4304932735426	1462.6000000000001	-393.8366606539639	-90.74464947095186	194.2884469413486
62780	12 51 54.41	-18 56 38.1	8.58	3.81	1.4846248783780975	262.4671916010498	856.062467191601	-241.91115368634343	-55.74592639411559	-85.2080517295542
62781	12 51 54.44	+58 39 48.2	8.18	7.46	2.5436941373633424	134.0482573726542	437.21152815013426	-67.93337808638218	-15.654740991258288	114.49419431095451
62784	12 51 55.39	+07 54 16.6	7.79	3.99	0.794864478433742	250.62656641604002	817.4431077694234	-241.90142245046087	-55.76189522462424	34.46721124337463
62785	12 51 56.81	-35 04 56.7	6.98	3.66	-0.20259457302794637	273.2240437158471	891.1469945355194	-217.86754311236203	-50.245399479272564	-157.03665671998527
62786	12 51 56.95	-39 40 49.4	5.99	7.01	0.21859008983329353	142.65335235378035	465.2778887303853	-106.98021540096501	-24.67333776442384	-91.08478936736691
62787	12 51 57.60	-39 14 44.6	9.25	15.26	5.167772668094308	65.53079947575362	213.73512450851908	-49.45094732690015	-11.407554828774844	-41.457896488269576
62788	12 51 57.97	-26 44 18.1	6.14	16.62	2.2431550972404617	60.168471720818246	196.24536702767736	-52.35925272377643	-12.079933566898578	-27.07081174338762
62789	12 51 58.67	+40 14 29.5	8.1	8.35	2.70843237741801	119.76047904191617	390.61053892215574	-89.07550863180542	-20.55564889521577	77.36660391170737
